genre,popularity,release_year,vote_average,revenue,runtime,Rating,Votes,woman,director,murder,short,film,relationship,novel,alien,horror,based,space,war,death,zombie,ghost,police,movie,nudity,love,time,sequel,dystopia,killer,comic,drama,biography,monster,violence,family,female,thriller,gay,book,post,supernatural,future,suspense,found,superhero,footage,brightness_level
AcCrTh,15.685567,2016,5,81093313,186,5.9,35400,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ho,6.733309,2016,6.5,0,180,6.8,26566,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
AcCrTh,5.278867,2016,6,118587880,9,6,52195,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AcCrTh,4.681044,2016,5.8,81705746,194,6.1,28223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
AcCrTh,4.227841,2016,6.1,3295624,192,6.1,16364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AcCrTh,4.204536,2016,7.6,0,23,7.5,54351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RoCoDa,4.160494,2016,5.4,16374328,12,5.8,34150,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AcThMi,4.137774,2016,5.8,64188367,192,6,49635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AcCrTh,4.087021,2016,5.7,8810591,187,5.8,20560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
AcCrTh,4.015521,2016,4.8,45172994,185,5.1,24852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3
